ID,ActivityHour,TotalStep,TotalIntensity,AverageIntensity
8053475328,4/15/2016 10:00:00 PM,770,41,0.683333
8053475328,4/20/2016 9:00:00 PM,775,44,0.733333
8053475328,5/5/2016 2:00:00 PM,3848,93,1.55
8053475328,4/25/2016 6:00:00 PM,1289,42,0.7
8053475328,4/30/2016 3:00:00 PM,3851,91,1.516667
8053475328,4/19/2016 3:00:00 PM,1293,42,0.7
8053475328,4/26/2016 12:00:00 PM,1042,36,0.6
8053475328,4/17/2016 2:00:00 PM,2835,83,1.383333
8053475328,4/24/2016 3:00:00 PM,3604,86,1.433333
8053475328,5/7/2016 2:00:00 PM,3349,83,1.383333
8053475328,5/7/2016 10:00:00 PM,2070,64,1.066667
8053475328,5/5/2016 9:00:00 PM,4119,106,1.766667
8053475328,4/26/2016 6:00:00 PM,3864,96,1.6
8053475328,4/13/2016 2:00:00 PM,1563,40,0.666667
8053475328,5/8/2016 5:00:00 PM,1310,52,0.866667
8053475328,4/19/2016 10:00:00 PM,3619,90,1.5
8053475328,4/20/2016 2:00:00 PM,3875,91,1.516667
8053475328,4/24/2016 5:00:00 PM,804,39,0.65
8053475328,5/4/2016 9:00:00 PM,2853,81,1.35
8053475328,4/18/2016 1:00:00 PM,4134,101,1.683333
8053475328,4/28/2016 7:00:00 PM,4134,102,1.7
8053475328,5/7/2016 5:00:00 PM,2344,63,1.05
8053475328,4/15/2016 1:00:00 PM,2600,64,1.066667
8053475328,5/9/2016 1:00:00 PM,1580,47,0.783333
8053475328,4/19/2016 4:00:00 PM,3116,73,1.216667
8053475328,4/24/2016 9:00:00 PM,4400,115,1.916667
8053475328,4/22/2016 8:00:00 PM,4147,100,1.666667
8053475328,4/21/2016 10:00:00 PM,4407,109,1.816667
8053475328,5/3/2016 2:00:00 PM,4407,105,1.75
8053475328,5/3/2016 7:00:00 PM,3641,96,1.6
8053475328,4/24/2016 2:00:00 PM,5689,140,2.333333
8053475328,4/17/2016 3:00:00 PM,2362,64,1.066667
8053475328,4/13/2016 5:00:00 PM,1083,43,0.716667
8053475328,4/23/2016 2:00:00 PM,4669,108,1.8
8053475328,5/6/2016 10:00:00 PM,3395,90,1.5
8053475328,4/28/2016 2:00:00 PM,2896,66,1.1
8053475328,4/19/2016 7:00:00 PM,4177,102,1.7
8053475328,4/21/2016 2:00:00 PM,3411,78,1.3
8053475328,5/4/2016 10:00:00 PM,2135,51,0.85
8053475328,4/28/2016 10:00:00 PM,4183,102,1.7
8053475328,5/7/2016 6:00:00 PM,606,35,0.583333
8053475328,4/20/2016 7:00:00 PM,3166,74,1.233333
8053475328,5/3/2016 5:00:00 PM,3934,121,2.016667
8053475328,4/27/2016 7:00:00 PM,4195,105,1.75
8053475328,4/23/2016 9:00:00 PM,869,42,0.7
8053475328,4/25/2016 1:00:00 PM,1893,48,0.8
8053475328,4/29/2016 6:00:00 PM,2405,62,1.033333
8053475328,5/10/2016 6:00:00 PM,1641,58,0.966667
8053475328,4/16/2016 7:00:00 PM,7529,179,2.983333
8053475328,4/27/2016 2:00:00 PM,1643,38,0.633333
8053475328,4/20/2016 10:00:00 PM,4206,105,1.75
8053475328,4/21/2016 9:00:00 PM,625,36,0.6
8053475328,4/27/2016 9:00:00 PM,885,40,0.666667
8053475328,4/12/2016 7:00:00 PM,6773,159,2.65
8053475328,4/23/2016 10:00:00 PM,4214,106,1.766667
8053475328,5/8/2016 2:00:00 PM,4214,103,1.716667
8053475328,5/9/2016 2:00:00 PM,4983,135,2.25
8053475328,5/11/2016 6:00:00 PM,3960,100,1.666667
8053475328,4/27/2016 1:00:00 PM,2681,64,1.066667
8053475328,5/4/2016 7:00:00 PM,3961,98,1.633333
8053475328,4/25/2016 7:00:00 PM,4219,104,1.733333
8053475328,5/11/2016 9:00:00 PM,896,35,0.583333
8053475328,4/25/2016 5:00:00 PM,2945,76,1.266667
